restaurant_id,cuisine_type
326,Comfort Food
327,Pizza
327,Wings
327,Sandwiches
327,Desserts
327,American
327,Traditional American
327,Fast Food
328,Ice Cream + Frozen Yogurt
328,Desserts
328,Comfort Food
329,Healthy
329,Mexican
330,American
330,Breakfast and Brunch
330,Chicken
330,Family Meals
331,Desserts
331,Vegetarian
331,Coffee and Tea
331,Healthy
332,Pharmacy
332,Convenience
332,Everyday Essentials
332,Baby
333,Italian
333,Pasta
333,Comfort Food
334,Mexican
334,Fast Food
334,Comfort Food
335,Cafe
335,Coffee and Tea
335,Desserts
335,Bakery
336,Salads
336,Sandwich
336,Deli
336,Healthy
336,Family Meals
337,Sandwich
338,Sandwich
338,Salads
338,Healthy
338,Family Meals
339,Sandwich
339,Deli
340,Japanese
340,Asian
340,Chinese
341,Thai
341,Asian
341,Noodles
342,Thai
342,Asian
342,Noodles
343,Seafood
343,Sandwiches
343,Burgers
344,American
344,Seafood
344,Steak
344,Family Meals
345,Indian
345,Vegetarian
345,Indian Curry
345,Healthy
346,Indian
346,Vegetarian
346,Asian
346,Healthy
347,Indian
347,Pakistani
347,Halal
347,Vegetarian
348,Indian
348,Vegetarian
348,Halal
348,Pakistani
348,Vegan
349,Indian
349,Pakistani
349,Chicken
349,Halal
349,Vegetarian
350,Mediterranean
350,Greek
350,Vegetarian
351,Japanese
351,Asian
351,Sushi
352,Chinese
352,Asian
352,Asian Fusion
353,Chinese
353,Asian
353,Asian Fusion
354,Asian
354,Chicken
354,Chinese
355,Japanese
355,Sushi
355,Noodles
356,Sushi
356,Asian
356,Japanese
357,Chinese
357,Asian
357,Asian Fusion
358,Asian
358,Japanese
358,Sushi
359,Indian
360,Healthy
360,Sandwich
360,Greek
360,Mediterranean
360,Chicken
360,Sandwich
360,Salads
361,Chinese
361,Japanese
361,Asian
361,Asian Fusion
362,Japanese
362,Asian
362,Sushi
363,Sushi
363,Asian
363,Japanese
364,Chinese
364,Asian
364,Asian Fusion
365,Chinese
365,Asian
365,Asian Fusion
365,Family Meals
366,Asian
366,Seafood
366,Asian Fusion
367,Mexican
367,Latin American
367,Tacos
368,Burgers
368,American
368,Sandwiches
369,Burgers
369,American
369,Sandwiches
369,Salads
369,Healthy
370,American
370,Bar Food
370,Wings
370,Fast Food
370,Chicken
370,Family Meals
370,Exclusive to Eats
370,Comfort Food
371,American
371,Burgers
371,Sandwiches
372,BBQ
372,American
372,Burgers
373,Pizza
373,American
373,Italian
374,Burgers
374,American
374,Sandwiches
375,Mexican
375,Latin American
375,New Mexican
376,American
376,Burgers
376,Sandwiches
377,Mexican
377,Latin American
377,New Mexican
378,Burgers
378,American
378,Sandwiches
378,Exclusive to Eats
379,American
379,Burgers
379,Sandwiches
380,Burgers
380,American
380,Sandwiches
381,Breakfast and Brunch
381,American
381,Sandwiches
382,Burgers
382,American
382,Sandwiches
382,Desserts
383,Pizza
383,American
383,Italian
384,Indian
384,Pakistani
384,Halal
384,Vegetarian
384,Vegan
385,Burgers
385,American
385,Sandwiches
386,Breakfast and Brunch
386,American
386,Sandwiches
387,Comfort Food
387,American
387,Burgers
388,BBQ
388,American
388,Burgers
389,Burgers
389,American
389,Sandwiches
390,Pizza
390,American
390,Italian
391,Breakfast and Brunch
391,American
391,Sandwiches
392,Breakfast and Brunch
392,American
392,Sandwiches
393,American
393,Breakfast and Brunch
393,Juice and Smoothies
393,Healthy
393,Family Meals
394,Mexican
394,Latin American
394,New Mexican
395,American
395,Healthy
395,Juice and Smoothies
396,Chinese
396,Asian
396,Asian Fusion
397,Mexican
397,Latin American
397,New Mexican
398,Pizza
398,American
398,Italian
399,Mexican
399,Latin American
399,New Mexican
400,Mexican
400,Latin American
400,New Mexican
401,American
401,Breakfast and Brunch
401,Desserts
402,Mexican
402,Latin American
402,New Mexican
403,Mexican
403,Comfort Food
403,Latin American
404,Pizza
404,Italian
404,Wings
405,American
405,Burgers
405,Sandwiches
406,American
406,Pastry
406,Desserts
407,Mediterranean
407,Greek
407,Comfort Food
408,Mexican
408,Latin American
408,New Mexican
409,Pizza
409,American
409,Italian
410,Mexican
410,Latin American
410,Comfort Food
411,Bakery
411,Desserts
411,Comfort Food
412,Mexican
412,Latin American
412,New Mexican
413,American
413,Fast Food
413,Sandwich
414,Seafood
414,American
414,Southern
415,Mexican
415,Latin American
415,New Mexican
416,American
416,Chicken Strips
416,Wings
416,Chicken
417,American
417,Burgers
417,Sandwiches
418,Pizza
418,American
418,Italian
418,Sandwiches
419,Mexican
419,Latin American
419,New Mexican
420,Sandwich
420,American
420,Comfort Food
421,Burgers
421,American
421,Sandwiches
422,American
422,Breakfast and Brunch
422,Desserts
423,American
423,Comfort Food
423,Seafood
424,Seafood
424,American
424,Southern
425,American
425,Sandwich
425,Pastry
426,Seafood
426,American
426,Family Meals
427,American
427,Burgers
427,Wings
428,Seafood
428,Comfort Food
428,Southern
429,Latin American
429,Mexican
429,Vegetarian
430,Donuts
430,Breakfast &amp; Brunch
430,American
431,American
431,Seafood
432,Seafood
432,Fast Food
432,Fish and Chips
432,American
432,Family Meals
433,Chicken Strips
433,Fast Food
433,Fried Chicken
433,American
433,Southern
433,Family Meals
434,American
434,Burgers
434,Fast Food
435,American
435,Fish and Chips
436,Mexican
436,Tex Mex
436,Comfort Food
437,American
437,Burgers
437,Wings
438,Breakfast and Brunch
438,salad
438,Sandwich
438,Healthy
438,American
438,Chicken
439,American
439,Salads
439,Chicken
440,Seafood
440,American
440,Southern
441,American
441,Bar Food
441,burger
441,Sandwiches
441,Burgers
442,Ice Cream + Frozen Yogurt
442,Burgers
442,Chicken
442,American
443,Burgers
443,American
443,Sandwiches
444,American
444,Burgers
445,Mexican
445,Latin American
445,New Mexican
446,Sandwiches
446,American
446,Healthy
447,Pizza
447,American
447,Italian
448,Burgers
448,American
448,Sandwiches
449,Steak
449,American
449,Wine
449,Healthy
450,Fried Chicken
450,Wings
450,Burgers
451,American
451,Burgers
451,Fast Food
452,American
452,Burgers
452,Comfort Food
453,Comfort Food
453,American
453,Wings
454,Mexican
454,Latin American
454,Comfort Food
455,American
455,burger
455,Fast Food
455,Family Meals
456,Burgers
456,American
456,Sandwiches
456,Family Meals
457,American
457,Family Meals
458,American
458,Comfort Food
459,American
459,Wings
459,Salads
459,Healthy
459,Family Meals
460,American
460,Burgers
461,American
461,Burgers
462,Mediterranean
462,Salads
462,Kids Friendly
462,Chicken
463,Asian
463,Thai
463,Desserts
463,Family Friendly
464,Pizza
464,Desserts
464,Comfort Food
465,American
465,Comfort Food
465,Fried Chicken
465,Family Meals
465,Sandwich
465,Family Friendly
466,American
466,Breakfast and Brunch
466,burger
466,Comfort Food
466,Dinner
466,Omelette
466,salad
466,Traditional American
466,Family Meals
467,American
467,Traditional American
467,Burgers
467,Burgers
467,Sandwich
467,Sandwiches
467,Chicken
467,Kids Friendly
467,Comfort Food
467,Desserts
467,Desserts
467,Drinks
468,Burgers
468,American
468,Sandwiches
468,Steak
468,Seafood
468,Salads
468,BBQ
468,Healthy
468,Family Friendly
469,American
469,Sandwiches
469,Salads
469,Family Friendly
469,Chicken
470,Diner
470,Breakfast and Brunch
470,Burgers
470,Comfort Food
470,Family Friendly
471,Mexican
471,New Mexican
471,Vegetarian Friendly
472,American
472,Sandwich
472,Fast Food
472,Kids Friendly
473,Caribbean
473,Cajun
473,Seafood
474,Sushi
474,Japanese
474,Asian
474,Family Friendly
475,Bakery
475,Breakfast and Brunch
475,Cafe
475,Coffee &amp; Tea
476,Seafood
476,Cajun
476,Desserts
477,Seafood
477,American
477,Cajun
478,Fast Food
478,American
478,American
478,Salads
478,Sandwich
478,Sandwich
479,Juice and Smoothies
479,Healthy
479,Fast Food
480,Pizza
480,American
480,Italian
481,Pizza
481,American
481,Italian
482,Retail
482,Gift Store
482,Beauty Supply
483,American
483,Barfood
483,Wings
483,Seafood
483,Fish and Chips
483,Desserts
483,Fast Food
483,Bar Food
483,Sandwich
484,American
484,Fried Chicken
485,Gift Store
485,Baby
485,Retail
486,Breakfast and Brunch
486,Bakery
486,Desserts
487,Comfort Food
487,American
487,Wings
487,Family Meals
488,Breakfast &amp; Brunch
488,Donuts
488,Coffee and Tea
489,Sandwich
489,American
